Boat,Class,Name
D,CR,Mr. Alfred Pugh
D,CR,Mr. Arthur E. Lewis
D,CR,Mr. Arthur John Bright
D,CR,Mr. Arthur Windebank
D,CR,Mr. Frederick Sheath
D,CR,Mr. H.J. Prior
D,CR,Mr. Harold Phillimore
D,CR,Mr. James Witter 22 or Whitter
D,CR,Mr. John Connor
D,CR,Mr. John Hardy
D,CR,Mr. John Podesta
D,CR,Mr. Joseph Chapman
D,CR,Mr. Melville E. Stone
D,CR,Mr. Percival Albert Blake
D,CR,Mr. Percy Keane
D,CR,Mr. Reginald Charles Burgess
D,CR,Mr. Walter Belford
D,CR,Mr. William Lucas
D,CR,Mr. William Nutbean
D,CR,Mrs. Annie Martin
D,CR,Mrs. H. McClaren
D,CR,Mrs. Kate Gold22or Gould
D,CR,Mrs. M. Bennett
D,CR,Mrs. S.A. Stap
D,FC,Lt. Mauritz Hakan Bjornstrom-Steffanson
D,FC,Mr. Frederick Maxfield Hoyt
D,FC,Mr. Hugh Woolner
D,FC,Mrs. Alexander Oskar (Mary Alice Towner) Holverson
D,FC,Mrs. Daniel Warner (Mary Graham Carmichael Farqhuarson) Marvin
D,FC,Mrs. Frederick Maxfield (Jane Ann Forby) Hoyt
D,FC,Mrs. Gertrude Maybelle Thorne
D,FC,Mrs. Henry Birkhardt (Irene Wallach) Harris
D,FC,Mrs. Herbert Fuller (Carrie Toogood) Chaffee
D,FC,Mrs. John Murray (Caroline Lane Lamson) Brown
D,FC,Mrs. William Baird (Alice Munger) Silvey
D,OT,a group of Syrian women
D,SC,Master Edmond Roger Navatril
D,SC,Master John Morgan Davis
D,SC,Master Marshall Brines Drew
D,SC,Master Michel M. Navatril
D,SC,Master Ralph Lester Wells
D,SC,Master Viljo Hamalainen
D,SC,Miss Anna Siukonnen
D,SC,Miss Barbara J. West
D,SC,Miss Bertha Ilett
D,SC,Miss Bertha Lehmann
D,SC,Miss Clear Cameron
D,SC,Miss Constance Miriam West
D,SC,Miss Elsie Doling
D,SC,Miss Ethel Garside
D,SC,Miss Joan Wells
D,SC,Miss Julie Christy
D,SC,Miss Louise LaRouche
D,SC,Miss Lucy Ridsdale
D,SC,Miss Marion Smith
D,SC,Miss Nellie Walcroft
D,SC,Miss Rosa Pinsky
D,SC,Miss Simonne LaRouche
D,SC,Miss Susan Webber
D,SC,Mr. Edward Beane
D,SC,Mr. Emilio Pallas y Castello
D,SC,Mr. Emilio Portaluppi
D,SC,Mr. George Harris
D,SC,Mr. Julian Padro y Manent
D,SC,Mr. Percy Thomas Oxenham
D,SC,Mrs. Ada Doling
D,SC,Mrs. Ada E. Hall Balls
D,SC,Mrs. Agnes Davis
D,SC,Mrs. Albert (Antoinette) Mallet
D,SC,Mrs. Alice Frances Christy
D,SC,Mrs. Amin S. (Marie Thuillard) Jerwan
D,SC,Mrs. Arthur H. (Addie Trevaskis) Wells
D,SC,Mrs. Carolina Bystrom
D,SC,Mrs. Edward (Ethel Clarke) Beane
